,city,latitude,longitude
0,Mont Saint Michel,48.636,-1.5115
1,St Malo,48.6495,-2.026
2,Bayeux,49.2765,-0.7025
3,Le Havre,49.4939,0.108
4,Rouen,49.4405,1.094
5,Paris,48.8589,2.32
6,Amiens,49.8942,2.2957
7,Lille,50.6366,3.0635
8,Strasbourg,48.5846,7.7507
9,Chateau du Haut Koenigsbourg,48.2495,7.3443
10,Colmar,48.0778,7.358
11,Eguisheim,48.0448,7.308
12,Besancon,47.238,6.0244
13,Dijon,47.3216,5.0415
14,Annecy,45.8992,6.1289
15,Grenoble,45.1876,5.7358
16,Lyon,45.7578,4.832
17,Gorges du Verdon,43.7497,6.3286
18,Bormes les Mimosas,43.1572,6.3293
19,Cassis,43.214,5.5396
20,Marseille,43.2962,5.37
21,Aix en Provence,43.5298,5.4475
22,Avignon,43.9492,4.8059
23,Uzes,44.0121,4.4197
24,Nimes,43.8374,4.3601
25,Aigues Mortes,43.5658,4.1913
26,Saintes Maries de la mer,43.4523,4.4287
27,Collioure,42.5251,3.0832
28,Carcassonne,43.213,2.3491
29,Ariege,42.9455,1.4066
30,Toulouse,43.6045,1.4442
31,Montauban,44.0176,1.355
32,Biarritz,43.4711,-1.5527
33,Bayonne,43.4933,-1.4751
34,La Rochelle,46.1591,-1.152
